"{EC7AD09A-8B44-9200-E053-6C04A8C0E306}","9999950","2022-06-14 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B46-9200-E053-6C04A8C0E306}","2156562","2022-02-28 00:00","W1T 6PG","O","N","F","124","","CLEVELAND STREET","","LONDON","CAMDEN","GREATER LONDON","B","A"
"{EC7AD09A-8B47-9200-E053-6C04A8C0E306}","5150000","2022-09-20 00:00","CM4 0BY","O","N","F","1","","MARKET PLACE","","INGATESTONE","BRENTWOOD","ESSEX","B","A"
"{EC7AD09A-8B49-9200-E053-6C04A8C0E306}","4500000","2022-02-01 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B4A-9200-E053-6C04A8C0E306}","2100000","2022-02-25 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B4B-9200-E053-6C04A8C0E306}","5800000","2022-02-09 00:00","SE12 0RE","S","N","F","59","","ST MILDREDS ROAD","","LONDON","LEWISHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B4C-9200-E053-6C04A8C0E306}","5880000","2022-07-07 00:00","W1T 6PG","O","N","F","124","","CLEVELAND STREET","","LONDON","CAMDEN","GREATER LONDON","B","A"
"{EC7AD09A-8B4D-9200-E053-6C04A8C0E306}","1000000","2022-05-13 00:00","SW18 2JS","O","N","F","50 - 53","","DENTON STREET","","LONDON","WANDSWORTH","GREATER LONDON","B","A"
"{EC7AD09A-8B4E-9200-E053-6C04A8C0E306}","7000000","2022-09-15 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B4F-9200-E053-6C04A8C0E306}","1820000","2022-06-14 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B50-9200-E053-6C04A8C0E306}","8750000","2022-05-26 00:00","SW18 2HL","S","N","F","1","","MARCILLY ROAD","","LONDON","WANDSWORTH","GREATER LONDON","B","A"
"{EC7AD09A-8B51-9200-E053-6C04A8C0E306}","1750000","2022-10-07 00:00","W11 3AA","O","N","F","2","","CLARENDON ROAD","","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","B","A"
"{EC7AD09A-8B52-9200-E053-6C04A8C0E306}","8500000","2022-09-30 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B53-9200-E053-6C04A8C0E306}","1505000","2022-06-27 00:00","E9 6QH","O","N","F","1 - 3","","DARNLEY ROAD","","LONDON","HACKNEY","GREATER LONDON","B","A"
"{EC7AD09A-8B54-9200-E053-6C04A8C0E306}","2100000","2022-10-14 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B55-9200-E053-6C04A8C0E306}","4620000","2022-08-31 00:00","W1S 1FL","O","N","F","18","","ST GEORGE STREET","","LONDON","CITY OF WESTMINSTER","GREATER LONDON","B","A"
"{EC7AD09A-8B57-9200-E053-6C04A8C0E306}","3600000","2022-05-27 00:00","CM4 0BY","O","N","F","1","","MARKET PLACE","","INGATESTONE","BRENTWOOD","ESSEX","B","A"
"{EC7AD09A-8B61-9200-E053-6C04A8C0E306}","6250000","2022-06-07 00:00","W12 9BL","O","N","F","98","FLAT","ASKEW ROAD","","LONDON","HAMMERSMITH AND FULHAM","GREATER LONDON","B","A"
"{EC7AD09A-8B6C-9200-E053-6C04A8C0E306}","2750000","2022-05-31 00:00","W1T 6PG","O","N","F","124","","CLEVELAND STREET","","LONDON","CAMDEN","GREATER LONDON","B","A"
"{EC7AD09A-8B80-9200-E053-6C04A8C0E306}","1073131","2022-03-01 00:00","W1T 6PG","O","N","F","124","","CLEVELAND STREET","","LONDON","CAMDEN","GREATER LONDON","B","A"